id,playerName,x,y,end_x,end_y,xT_gain
2816673005,S. Nordli,76.3,74.1,18.5,5.3,-0.0199999999999999
2816673097,N. Campbell,78.1,45.6,14.2,4.44,-0.0289999999999999
2816673159,O. Olsen,75.2,34.6,18.0,2.51,-0.015
2816673193,D. Høegh,61.8,49.1,18.0,1.59,-0.008
2816673207,W. Dammers,62.5,73.0,17.1,4.24,-0.008
2816673221,D. Høegh,55.0,50.6,12.6,5.54,-0.006
2816673229,A. Rømer,63.8,38.0,5.8,1.39,-0.0099999999999999
2816673231,J. Björkengren,64.8,46.4,13.8,5.95,-0.009
2816673293,P. Hatzidiakos,22.8,63.4,17.0,0.11,-0.003
2816673385,M. Elyounoussi,43.3,71.9,36.1,4.81,-0.003
2816673453,R. Huescas,63.7,21.5,14.4,5.51,-0.0069999999999999
2816673483,J. Larsson,79.0,9.8,13.8,1.86,-0.009
2816673887,W. Dammers,16.4,55.8,52.3,5.86,-0.002
2816673933,L. Lerager,42.9,89.1,13.1,4.94,-0.003
2816673949,M. López,45.7,70.4,15.2,2.99,-0.004
2816673985,P. Hatzidiakos,31.4,73.8,33.8,0.38,-0.001
